split,cls_name,cls_type,vid_name
train,arc welding,close,lWVnZzNB0iA
train,arc welding,close,-_R1e0990i4
train,arc welding,close,gqLB2ntSJYI
train,arc welding,close,3gPXIaWxvcQ
train,arc welding,close,nCN7g54qWSo
train,arc welding,close,PI3pZxoPRvA
train,arc welding,close,08MiFMS7FnM
train,arc welding,close,7AZ-nJlcflg
train,arc welding,close,dMVOn9wCnzA
train,arc welding,close,fjPI8qbXf8M
train,arc welding,close,jAXbNOmOxrI
train,arc welding,close,1C0BxpKY7hY
train,arc welding,close,6uUX7iKKOKM
train,arc welding,close,Qr3AiL2QY6I
train,arc welding,close,IUUe8-Zn9cA
train,arc welding,close,5CsJCXyKBBE
train,arc welding,close,7hN_mGA5fgE
train,arc welding,close,Qc_Tx3OLr-U
train,arc welding,close,WKkLcUlsLG4
train,arc welding,close,KfAwnQAlrVY
train,arc welding,close,5sm8R6iMV-g
train,arc welding,close,xfv0DwPqhCo
train,arc welding,close,82LQ2cMoE5c
train,arc welding,close,8_xMj4US9Js
train,arc welding,close,wc52ZS7k2eo
train,arc welding,close,XuOILPU8Hy4
train,arc welding,close,QUzMoaeE_0Y
train,arc welding,close,4-PQAEZy7NA
train,arc welding,close,PTdYGyme-f4
train,arc welding,close,19V6MK_hAXE
train,arc welding,close,6Ph4CZ_ZViU
train,arc welding,close,yU7fUOrZSVY
train,arc welding,close,UBQYIzQLZAk
train,arc welding,close,njsZqi4ucjg
train,arc welding,close,1mL6Gz2f49k
train,arc welding,close,ZgGdpGvmdkI
train,arc welding,close,bgGgPPudjlQ
train,arc welding,close,JAqddWj0ZeE
train,arc welding,close,gI6GY3fzQ9A
train,arc welding,close,HK9jBKK4ZtY
train,arc welding,close,55z-Cp00-O4
train,arc welding,close,BpzHFszqXVc
train,arc welding,close,dlltzeDUUvA
train,arc welding,close,XBLMydsoAY0
train,arc welding,close,A-Y-O-8FjHw
train,arc welding,close,0mDASCGPkY8
train,arc welding,close,tpRijq7q21E
train,arc welding,close,tLDxYXUa-Fg
train,arc welding,close,RddAzvE5hTo
train,arc welding,close,ww2UcR2U__k
train,arc welding,close,hMPRQ4JdKYo
train,arc welding,close,1RW2ts9tx1I
train,arc welding,close,dj87X8-FciY
train,arc welding,close,B9a-i2eZUv8
train,arc welding,close,J0WWn6zJYRg
train,arc welding,close,a3jx7Dj69M4
train,arc welding,close,SgRfhDSNZI8
train,arc welding,close,4Ng3xl55r5g
train,arc welding,close,g6o67oBBx0E
train,arc welding,close,gZmAMu2_xks
train,arc welding,close,K0ffkm6f8-k
train,arc welding,close,4HJfC3KRMU4
train,arc welding,close,XhrLHn12f3A
train,arc welding,close,tyBolpzUqB0
train,arc welding,close,eqXtmUZiZGk
train,arc welding,close,QyKZP3iq1K4
train,arc welding,close,FMN4CgE8VUI
train,arc welding,close,O5VxE5NNcQg
train,arc welding,close,XUciMUZmSLQ
train,arc welding,close,FNiKJZkdDTA
train,arc welding,close,8tHJ0NSjZnM
train,arc welding,close,zO2bTxTwWxk
train,fireworks banging,close,j-AFg9UeoZU
train,fireworks banging,close,_4u2aPGH91k
train,fireworks banging,close,XRgLaLcrJA4
train,fireworks banging,close,beIel5s3z1g
train,fireworks banging,close,SJ4be368BXo
train,fireworks banging,close,2bYsOCCAR2o
train,fireworks banging,close,fhEvkBkpkAo
train,fireworks banging,close,IrEJY7fu2Yg
train,fireworks banging,close,v4EIBkKdlgo
train,fireworks banging,close,6i_xlqqOmsA
train,fireworks banging,close,y_oJlfVMh5Y
train,fireworks banging,close,wOnNmp0ojow
train,fireworks banging,close,3RptyPgUI2A
train,fireworks banging,close,sgANY48F4NY
train,fireworks banging,close,l1dJPN7RtUI
train,fireworks banging,close,4SHm6lbVxic
train,fireworks banging,close,wDX57RioHUY
train,fireworks banging,close,C8iYrOYfBvs
train,fireworks banging,close,4nQog3-_BOY
train,fireworks banging,close,Ugrr-8YGiyw
train,fireworks banging,close,DxsDPJS3lXY
train,fireworks banging,close,bkCIki8IhLE
train,fireworks banging,close,19XjJonmDbo
train,fireworks banging,close,ndcK1XFyG_U
train,fireworks banging,close,vzB_Erlp2T8
train,fireworks banging,close,rXkrMHZXUs0
train,fireworks banging,close,gsaV1KGA7Pw
train,fireworks banging,close,WmmAoMkHyLg
train,fireworks banging,close,9MKXKCI9UNI
train,fireworks banging,close,K49OWIVNULE
train,fireworks banging,close,u-STc5LYPIU
train,fireworks banging,close,HJxeh3jvPEg
train,fireworks banging,close,I2WWGJHMZTA
train,fireworks banging,close,N-OWf_McWnA
train,fireworks banging,close,4STGms-Uyuo
train,fireworks banging,close,GNOf3cNPBe8
train,fireworks banging,close,Cz9TgItmqls
train,fireworks banging,close,yjuIe6vQWDo
train,fireworks banging,close,sLIjgK2Hqi0
train,fireworks banging,close,m7LuY1QjncQ
train,fireworks banging,close,aLJkS5JbkLo
train,fireworks banging,close,ATxSRYTHfgA
train,fireworks banging,close,aYeNB3sosL8
train,fireworks banging,close,tCE5Y8cFIsg
train,fireworks banging,close,CMfvZvYL1Co
train,fireworks banging,close,cdtA_OXgjsU
train,fireworks banging,close,UPN7XweXYX8
train,fireworks banging,close,HQKTj__tOVg
train,fireworks banging,close,Yt4DBPHQgWw
train,fireworks banging,close,L-60nBdXGio
train,fireworks banging,close,3sYnYraOuIo
train,fireworks banging,close,Z1R4ZFYkxXw
train,fireworks banging,close,cYvRBNN0NSo
train,fireworks banging,close,OvdrzeaUJa8
train,fireworks banging,close,ahd5Xfv0dGI
train,fireworks banging,close,Nd4nFQltKDo
train,fireworks banging,close,IJsTAdWRHQs
train,fireworks banging,close,acFx_XAnowM
train,fireworks banging,close,Qo4hk504WMc
train,fireworks banging,close,pLatqIP_U3A
train,fireworks banging,close,_ErD71CD8ZM
train,fireworks banging,close,BzC0Q_Yq3yo
train,fireworks banging,close,jI0kOfMx1Bg
train,fireworks banging,close,VPDp2IiNgG4
train,fireworks banging,close,bmK9BbOkylA
train,fireworks banging,close,nQrTdHZCwL8
train,fireworks banging,close,x9gE-IPfg3M
train,fireworks banging,close,XWINmSdr0fU
train,fireworks banging,close,Cf0MHLBJ0IE
train,fireworks banging,close,x-FuExCGl7o
train,fireworks banging,close,AW8HjiOEwjk
train,fireworks banging,close,V3Mz7RH3u5A
train,fireworks banging,close,cS9t_-Rxcq0
train,fireworks banging,close,g_2AC40258g
train,fireworks banging,close,dBPjK0Zzk3c
train,fireworks banging,close,duxkXbVy-pM
train,fireworks banging,close,aW1aWl8VFFw
train,fireworks banging,close,uCCyQpve-rI
train,fireworks banging,close,oJuMpvKv56w
train,fireworks banging,close,TdKy3wvP9ZY
train,fireworks banging,close,7xD2BR_dlqY
train,fireworks banging,close,SqHYPKuw-jw
train,fireworks banging,close,dgQwPKvkhKQ
train,fireworks banging,close,h_0qaAwJOPA
train,fireworks banging,close,yJ6q1RfA-V0
train,fireworks banging,close,OEO9rMkpmEY
train,fireworks banging,close,HClQ6AlwwVM
train,fireworks banging,close,GWp3dpVtD7g
train,fireworks banging,close,3W9ZTnR-lP0
train,fireworks banging,close,X3y7RUCAl6Y
train,fireworks banging,close,sh2qM6xK3c4
train,fireworks banging,close,DNz3D68ikyU
train,fireworks banging,close,2fpbDwf37vg
train,fireworks banging,close,tWDPt8ekwHk
train,fireworks banging,close,8527ZnUSVR4
train,fireworks banging,close,mhKv4hYrC7Y
train,fireworks banging,close,kHhID6SE4IY
train,fireworks banging,close,kyC8o8uS1Ew
train,volcano explosion,close,s0e1ItihCOQ
train,volcano explosion,close,7Ea3uED1Zgc
train,volcano explosion,close,VW9qQ_GBGyQ
train,volcano explosion,close,h-n6T3DHjbE
train,volcano explosion,close,jE8MWTGaM7U
train,volcano explosion,close,TL8MNgVTh48
train,volcano explosion,close,q-lDVcjfvFk
train,volcano explosion,close,v8CDvMseU84
train,volcano explosion,close,ks5m2wH4KNg
train,volcano explosion,close,UHiqLEzPdUU
train,volcano explosion,close,a1X1BVJnHog
train,volcano explosion,close,yzY50IBaeUo
train,volcano explosion,close,2eoeJITJeHc
train,volcano explosion,close,S45jT2VXBRg
train,volcano explosion,close,HVDwMeFIfHA
train,volcano explosion,close,QfWQ469xx3k
train,volcano explosion,close,GIkOa4tqqcA
train,volcano explosion,close,7YEkH5oeNBs
train,volcano explosion,close,nFEwgBkzTiM
train,volcano explosion,close,EZHDUFucc-g
train,volcano explosion,close,C3jG8gOh9L0
train,volcano explosion,close,0C1_-Hyyyps
train,volcano explosion,close,JBVyWoOudYk
train,volcano explosion,close,TnZ7lewZgns
train,volcano explosion,close,ir9ICch6GTo
train,volcano explosion,close,mrdA3fE64hA
train,volcano explosion,close,qjUS1FaLvJU
train,volcano explosion,close,5InkUIyVdrg
train,volcano explosion,close,zhFzDzfOCik
train,volcano explosion,close,kvKMz_laff4
train,volcano explosion,close,j3d1vEdZh1s
train,volcano explosion,close,C1gXBZ28r3Y
train,volcano explosion,close,GGqy4BtaLgQ
train,volcano explosion,close,aEchaVYEXoY
train,volcano explosion,close,W02qC_43By4
train,volcano explosion,close,fthHLxFi_t0
train,volcano explosion,close,tbFUcV4Nszk
train,volcano explosion,close,zbDIJ1dv0QI
train,volcano explosion,close,h8W_sGYAQlc
train,volcano explosion,close,tocHiK3Wdas
train,volcano explosion,close,Y8tbW-j1LjM
train,volcano explosion,close,4IROBHXax3g
train,volcano explosion,close,GM-i2RuiUuY
train,volcano explosion,close,jggmZe2stNc
train,volcano explosion,close,3CrxRTRz6qA
train,volcano explosion,close,U-zsYmcMrfE
train,volcano explosion,close,4TJKDn2Y4HU
train,volcano explosion,close,cdPpYrwQrYQ
train,volcano explosion,close,xjkwgxEQcrc
