split,cls_name,cls_type,vid_name
train,horse clip-clop,close,DJn1wOC-gnE
train,horse clip-clop,close,9H2aJJiGd0Q
train,horse clip-clop,close,CybyFTR0-2o
train,horse clip-clop,close,0ICKYtF-yJs
train,horse clip-clop,close,6LB-qRj_zW4
train,horse clip-clop,close,LZf5E66GGdg
train,horse clip-clop,close,aewj5M0rOw4
train,horse clip-clop,close,HhQSVf5374c
train,horse clip-clop,close,33sI38jHmNI
train,horse clip-clop,close,ePIKNabrZmQ
train,horse clip-clop,close,EjOyYN9_FFQ
train,horse clip-clop,close,1jqsV-Cupx0
train,horse clip-clop,close,KVrFerlqalc
train,horse clip-clop,close,qx_VE6WYjyM
train,horse clip-clop,close,LZTGraAMpzM
train,horse clip-clop,close,6ZFHKvvA9As
train,horse clip-clop,close,xQbTuoxteLI
train,horse clip-clop,close,H-aGA7jr9e8
train,horse clip-clop,close,N9MI_4IgUvk
train,horse clip-clop,close,BMU1HWDzfZo
train,horse clip-clop,close,0u89nA_BPoI
train,horse clip-clop,close,Lk9T6JCMMPI
train,horse clip-clop,close,GDP1DgI04hI
train,horse clip-clop,close,2DmbPAlalPI
train,horse clip-clop,close,B7lf9HgFAwQ
train,horse clip-clop,close,I-OV9_fu7Ao
train,horse clip-clop,close,T3xBZjXWzEw
train,horse clip-clop,close,KThxLGPaO1I
train,horse clip-clop,close,3cc2GDUvdHo
train,horse clip-clop,close,NEg_LkITz_Y
train,horse clip-clop,close,34LA4c312EY
train,horse clip-clop,close,3jzMzHwLLYg
train,horse clip-clop,close,Mqv9a8NqHKw
train,horse clip-clop,close,09CxTd_olO4
train,horse clip-clop,close,-c8MRzSY6BI
train,horse clip-clop,close,Mfz3dCUeDws
train,horse clip-clop,close,8yd3H8O4bBE
train,horse clip-clop,close,8uVrm3qXzF4
train,horse clip-clop,close,FC-ZMj29ICQ
train,horse clip-clop,close,1fBKftEVXRA
train,horse clip-clop,close,2pikqXJeOAg
train,horse clip-clop,close,-0TTFAArJ9k
train,horse clip-clop,close,FjbwWca3ZsM
